customer_id,age,gender,city
1,58,Male,Kolkata
2,65,Female,Bangalore
3,32,Male,Mumbai
4,61,Male,Pune
5,20,Male,Mumbai
6,31,Male,Kolkata
7,53,Male,Pune
8,32,Female,Chennai
9,69,Male,Delhi
10,62,Female,Hyderabad
11,35,Male,Bangalore
12,66,Female,Mumbai
13,23,Female,Mumbai
14,40,Female,Chennai
15,69,Male,Ahmedabad
16,52,Male,Pune
17,23,Female,Hyderabad
18,54,Male,Mumbai
19,20,Male,Chennai
20,23,Male,Mumbai
21,42,Female,Ahmedabad
22,58,Female,Delhi
23,41,Female,Bangalore
24,60,Female,Mumbai
25,56,Male,Bangalore
26,28,Female,Pune
27,35,Male,Hyderabad
28,71,Male,Bangalore
29,70,Male,Hyderabad
30,43,Female,Mumbai
31,31,Female,Bangalore
32,59,Female,Pune
33,74,Female,Delhi
34,34,Male,Bangalore
35,65,Female,Pune
36,75,Female,Hyderabad
37,32,Male,Ahmedabad
38,23,Male,Mumbai
39,27,Male,Pune
40,56,Male,Pune
41,42,Female,Chennai
42,53,Male,Mumbai
43,61,Female,Hyderabad
44,25,Female,Pune
45,28,Female,Kolkata
46,64,Female,Delhi
47,50,Male,Chennai
48,71,Male,Delhi
49,41,Male,Kolkata
50,56,Female,Ahmedabad
51,19,Male,Hyderabad
52,74,Female,Bangalore
53,21,Male,Mumbai
54,23,Female,Mumbai
55,66,Male,Delhi
56,60,Female,Delhi
57,34,Female,Bangalore
58,52,Male,Chennai
59,43,Female,Ahmedabad
60,75,Female,Mumbai
61,33,Male,Mumbai
62,39,Male,Bangalore
63,55,Male,Kolkata
64,22,Male,Bangalore
65,22,Male,Hyderabad
66,22,Male,Chennai
67,60,Female,Bangalore
68,52,Male,Ahmedabad
69,33,Female,Pune
70,30,Male,Mumbai
71,60,Female,Hyderabad
72,45,Female,Ahmedabad
73,73,Male,Mumbai
74,21,Female,Hyderabad
75,69,Male,Bangalore
76,30,Male,Ahmedabad
77,26,Female,Delhi
78,35,Female,Bangalore
79,73,Male,Ahmedabad
80,69,Male,Kolkata
81,59,Male,Mumbai
82,66,Male,Delhi
83,44,Female,Ahmedabad
84,31,Female,Kolkata
85,28,Female,Kolkata
86,42,Female,Ahmedabad
87,36,Female,Ahmedabad
88,27,Male,Chennai
89,31,Male,Kolkata
90,65,Female,Kolkata
91,21,Female,Delhi
92,21,Male,Delhi
93,22,Male,Bangalore
94,43,Male,Bangalore
95,55,Male,Mumbai
96,44,Female,Chennai
97,31,Female,Bangalore
98,34,Female,Delhi
99,60,Female,Ahmedabad
100,38,Male,Kolkata
101,47,Male,Mumbai
102,52,Male,Chennai
103,26,Female,Mumbai
104,74,Male,Hyderabad
105,36,Male,Ahmedabad
106,71,Female,Kolkata
107,60,Female,Mumbai
108,74,Male,Chennai
109,25,Male,Delhi
110,35,Female,Bangalore
111,63,Female,Bangalore
112,61,Female,Ahmedabad
113,34,Male,Mumbai
114,58,Female,Chennai
115,20,Male,Hyderabad
116,67,Male,Chennai
117,28,Female,Pune
118,53,Male,Mumbai
119,22,Male,Kolkata
120,71,Female,Delhi
121,45,Male,Kolkata
122,37,Female,Kolkata
123,75,Female,Bangalore
124,61,Male,Mumbai
125,40,Female,Delhi
126,33,Male,Delhi
127,74,Female,Kolkata
128,29,Female,Pune
129,69,Male,Chennai
130,28,Male,Pune
131,73,Male,Ahmedabad
132,32,Male,Ahmedabad
133,40,Female,Bangalore
134,32,Male,Bangalore
135,43,Female,Chennai
136,73,Male,Chennai
137,40,Female,Hyderabad
138,19,Male,Chennai
139,29,Female,Kolkata
140,24,Female,Hyderabad
141,64,Female,Pune
142,56,Male,Pune
143,75,Male,Chennai
144,20,Female,Kolkata
145,51,Male,Hyderabad
146,45,Male,Hyderabad
147,57,Female,Mumbai
148,64,Female,Chennai
149,60,Female,Hyderabad
150,43,Female,Delhi
151,30,Female,Pune
152,61,Male,Chennai
153,43,Male,Chennai
154,36,Male,Pune
155,68,Female,Ahmedabad
156,46,Female,Bangalore
157,50,Female,Delhi
158,60,Male,Chennai
159,50,Female,Mumbai
160,70,Male,Chennai
161,32,Male,Delhi
162,19,Male,Bangalore
163,48,Male,Ahmedabad
164,44,Male,Pune
165,49,Female,Bangalore
166,27,Male,Mumbai
167,67,Female,Bangalore
168,29,Female,Kolkata
169,53,Male,Mumbai
170,47,Male,Ahmedabad
171,60,Female,Ahmedabad
172,57,Female,Ahmedabad
173,75,Male,Ahmedabad
174,46,Female,Bangalore
175,71,Female,Ahmedabad
176,58,Male,Chennai
177,46,Male,Chennai
178,33,Female,Hyderabad
179,38,Male,Delhi
180,27,Male,Pune
181,62,Male,Bangalore
182,22,Female,Pune
183,39,Female,Pune
184,21,Male,Pune
185,42,Male,Pune
186,48,Male,Hyderabad
187,37,Female,Pune
188,52,Male,Ahmedabad
189,32,Female,Pune
190,49,Male,Pune
191,39,Female,Delhi
